# Native language names
# extracted from http://td.unfoldingword.org/exports/langnames.json

aa	Afaraf
wbh	Wanda
wbi	Vwanji
wbj	Alagwa
wbk	Waigali
wbl	Wakhi
wbm	Wa
wbp	Warlpiri
wbq	Waddar
wbr	Wagdi
wbt	Wanman
wbv	Wajarri
wbw	Woi
wca	Yanomámi
wci	Waci Gbe
wdd	Wandji
wdg	Wadaginam
wdj	Wadjiginy
wec	Wè Western
wed	Wedau
weg	Wergaia
weh	Weh
wei	Kiunum
wem	Weme Gbe
weo	Wemale
wep	Westphalien
wer	Weri
wes	Cameroon Pidgin
wet	Perai
weu	Rawngtu Chin
wew	Wejewa
wfg	Yafi
wgb	Wagawaga
wgi	Wahgi
wgo	Waigeo
wgu	Wirangu
wgy	Warrgamay
wha	Manusela
whg	North Wahgi
whk	Wahau Kenyah
whu	Wahau Kayan
wib	Southern Toussian
wic	Wichita
wig	Wik-Ngathana
wih	Wik-Me'anha
wii	Minidien
wij	Wik-Iiyanh
wik	Wikalkan
wim	Wik-Mungkan
win	Ho-Chunk
wiu	Wiru
wiv	Vitu
wiy	Wiyot
wja	Waja
wji	Warji
wkb	Kumbaran
wkd	Wakde
wkl	Kalanadi
wku	Kunduvadi
wkw	Wakawaka
wla	Walio
wlc	Mwali Comorian
wle	Wolane
wlg	Kunbarlang
wli	Waioli
wll	Wali (Sudan)
wlm	Middle Welsh
wlo	Wolio
wlr	Wailapa
wls	Wallisian
wlv	Wichí Lhamtés Vejoz
wlw	Walak
wlx	Wali (Ghana)
wmb	Wambaya
wmc	Wamas
wmd	Mamaindé
wme	Wambule
wmh	Waima'a
wmm	Maiwa (Indonesia)
wmo	Wom (Papua New Guinea)
wms	Wambon
wmt	Walmajarri
wmw	Mwani
wmx	Womo
wnb	Wanambre
wnc	Wantoat
wne	Waneci
wng	Wanggom
wni	Ndzwani Comorian
wnk	Wanukaka
wno	Wano
wnp	Wanap
wnu	Usan
wnw	Wintu
wny	Wanyi
wo	Wollof
woa	Tyaraity
wob	Wè Northern
woc	Wogeo
wod	Wolani
woe	Woleaian
wof	Gambian Wolof
wog	Wogamusin
woi	Kamang
wok	Longto
wom	Wom (Nigeria)
won	Wongo
woo	Manombai
wor	Woria
wos	Hanga Hundi
wow	Wawonii
woy	Weyto
wpc	Maco
wra	Warapu
wrd	Warduji
wrg	Warungu
wrh	Wiradhuri
wrk	Garrwa
wrl	Warlmanpa
wrm	Warumungu
wrn	Warnang
wro	Worrorra
wrp	Waropen
wrr	Wardaman
wrs	Waris
wru	Waru
wrv	Waruna
wrx	Wae Rana
wry	Merwari
wsa	Warembori
wsi	Wusi
wsk	Waskia
wsr	Owenia
wss	Wasa
wsu	Wasu
wtf	Watiwa
wti	Berta
wtk	Watakataui
wtm	Mewati
wtw	Wotu
wua	Wikngenchera
wub	Wunambal
wud	Wudu
wuh	Wutunhua
wul	Silimo
wum	Wumbvu
wun	Bungu
wut	Wutung
wuu	Wu Chinese
wuv	Wuvulu-Aua
wux	Wulna
wuy	Wauyai
wwa	Waama
wwo	Wetamut
www	Wawa
wxa	Waxianghua
wya	Wyandot
wyb	Wangaaybuwan-Ngiyambaa
wym	Wymysorys
wyr	Wayoró
wyy	Western Fijian
xaa	Andalusian Arabic
xab	Sambe
xac	Kachari
xad	Adai
xae	Aequian
xag	Aghwan
xai	Kaimbé
xal	Kalmyk
xan	Xamtanga
xao	Khao
xap	Apalachee
xaq	Aquitanian
xat	Katawixi
xau	Kauwera
xav	Xavánte
xaw	Kawaiisu
xay	Kayan Mahakam
xba	Kamba (Brazil)
xbb	Lower Burdekin
xbc	Bactrian
xbi	Kombio
xbm	Middle Breton
xbn	Kenaboi
xbo	Bolgarian
xbr	Kambera
xbw	Kambiwá
xby	Batyala
xcb	Cumbric
xcc	Camunic
xce	Celtiberian
xcg	Cisalpine Gaulish
xch	Chemakum
xcl	Classical Armenian
xcm	Comecrudo
xcn	Cotoname
xco	Chorasmian
xcr	Carian
xct	Classical Tibetan
xcu	Curonian
xcv	Chuvantsy
xcw	Coahuilteco
xcy	Cayuse
xda	Darkinyung
xdc	Dacian
xdm	Edomite
xdy	Malayic Dayak
xeb	Eblan
xed	Hdi
xel	Kelo
xem	Kembayan
xep	Epi-Olmec
xer	Xerénte
xes	Kesawai
xet	Xetá
xeu	Keoru-Ahia
xfa	Faliscan
xga	Galatian
xgb	Gbin
xgf	Gabrielino-Fernandeño
xgl	Galindan
xgr	Garza
xgu	Unggumi
xh	isiXhosa
xha	Harami
xhc	Hunnic
xhd	Hadrami
xhe	Khetrani
xhr	Hernican
xht	Hattic
xhu	Hurrian
xhv	Khua
xib	Iberian
xii	Xiri
xil	Illyrian
xir	Xiriâna
xis	Kisan
xiv	Indus Valley Language
xiy	Xipaya
xka	Kalkoti
xkb	Northern Nago
xkc	Kho'ini
xkd	Mendalam Kayan
xke	Kereho
xkf	Khengkha
xkg	Kagoro
xkh	Karahawyana
xki	Kenyan Sign Language
xkj	Kajali
xkk	Kaco'
xkl	Mainstream Kenyah
xkn	Kayan River Kayan
xko	Kiorr
xkp	Kabatei
xkq	Koroni
xkr	Xakriabá
xks	Kumbewaha
xkt	Kantosi
xku	Kaamba
xkv	Kgalagadi
xkw	Kembra
xkx	Karore
xky	Uma' Lasan
xkz	Kurtokha
xla	Kamula
xlb	Loup B
xlc	Lycian
xld	Lydian
xle	Lemnian
xlg	Ligurian (Ancient)
xli	Liburnian
xln	Alanic
xlo	Loup A
xlp	Lepontic
xls	Lusitanian
xlu	Cuneiform Luwian
xly	Elymian
xma	Mushungulu
xmb	Mbonga
xmc	Makhuwa-Marrevone
xmd	Mbudum
xme	Median
xmf	Mingrelian
xmg	Mengaka
xmh	Kuku-Muminh
xmj	Majera
xmk	Ancient Macedonian
xml	Malaysian Sign Language
xmm	Manado Malay
xmn	Manichaean Middle Persian
xmo	Morerebi
xmr	Meroitic
xms	Moroccan Sign Language
xmt	Matbat
xmv	Antankarana Malagasy
xmw	Tsimihety Malagasy
xmx	Maden
xmz	Mori Bawah
xna	Ancient North Arabian
xnb	Kanakanabu
xng	Middle Mongolian
xnh	Kuanhua
xni	Ngarigu
xnn	Northern Kankanay
xno	Anglo-Norman
xnr	Kangri
xns	Kanashi
xnt	Narragansett
xny	Nyiyaparli
xnz	Kenzi
xod	Kokoda
xog	Soga
xoi	Kominimung
xok	Xokleng
xom	Komo (Sudan)
xon	Konkomba
xoo	Xukurú
xop	Kopar
xor	Korubo
xow	Kowaki
xpc	Pecheneg
xpe	Liberia Kpelle
xpg	Phrygian
xpi	Pictish
xpk	Kulina Pano
xpm	Pumpokol
xpn	Kapinawá
xpo	Pochutec
xpp	Puyo-Paekche
xpq	Mohegan-Pequot
xpr	Parthian
xps	Pisidian
xpu	Punic
xpy	Puyo
xqa	Karakhanid
xqt	Qatabanian
xra	Krahô
xrb	Eastern Karaboro
xri	Krikati-Timbira
xrm	Armazic
xrn	Arin
xrr	Raetic
xrt	Aranama-Tamique
xru	Marriammu
xrw	Karawa
xsa	Sabaean
xsb	Sambal
xsc	Scythian
xsd	Sidetic
xse	Sempan
xsh	Shamang
xsi	Sio
xsl	South Slavey
xsm	Kasem
xsn	Sanga (Nigeria)
xso	Solano
xsp	Silopi
xsq	Makhuwa-Saka
xsr	Sherpa
xss	Assan
xsu	Sanumá
xsv	Sudovian
xsy	Saisiyat
xta	Alcozauca Mixtec
xtb	Chazumba Mixtec
xtc	Katcha-Kadugli-Miri
xtd	Diuxi-Tilantongo Mixtec
xte	Ketengban
xtg	Transalpine Gaulish
xth	Yitha Yitha
xti	Sinicahua Mixtec
xtj	San Juan Teita Mixtec
xtl	Tijaltepec Mixtec
xtm	Magdalena Peñasco Mixtec
xtn	Northern Tlaxiaco Mixtec
xto	Tokharian A
xtp	San Miguel Piedras Mixtec
xtq	Tumshuqese
xtr	Early Tripuri
xts	Sindihui Mixtec
xtt	Tacahua Mixtec
xtu	Cuyamecalco Mixtec
xtw	Tawandê
xty	Yoloxochitl Mixtec
xtz	Tasmanian
xua	Alu Kurumba
xub	Betta Kurumba
xud	Umiida
xug	Kunigami
xuj	Jennu Kurumba
xum	Umbrian
xuo	Kuo
xup	Upper Umpqua
xur	Urartian
xuu	Kxoe
xve	Venetic
xvi	Kamviri
xvn	Vandalic
xvo	Volscian
xvs	Vestinian
xwa	Kwaza
xwc	Woccon
xwd	Wadi Wadi
xwe	Xwela Gbe
xwg	Kwegu
xwk	Wangkumara
xwl	Western Xwla Gbe
xwo	Written Oirat
xwr	Kwerba Mamberamo
xxb	Boro (Ghana)
xxk	Ke'o
xxm	Minkin
xxt	Tambora
xyl	Yalakalore
xyy	Yorta Yorta
xzh	Zhang-Zhung
xzm	Zemgalian
xzp	Ancient Zapotec
yaa	Yaminahua
yab	Yuhup
yac	Pass Valley Yali
yad	Yagua
yae	Pumé
yaf	Yaka (Democratic Republic of Congo)
yag	Yámana
yah	Yazgulyam
yai	Yagnobi
yaj	Banda-Yangere
yak	Yakama
yal	Yalunka
yam	Yamba
yan	Mayangna
yao	Yao
yap	Yapese
yaq	Yaqui
yar	Yabarana
yas	Nugunu (Cameroon)
yat	Yambeta
yau	Yuwana
yav	Yangben
yaw	Yawalapití
yax	Yauma
yay	Agwagwune
yaz	Lokaa
yba	Yala
ybb	Yemba
ybe	West Yugur
ybh	Yakha
ybi	Yamphu
ybj	Hasha
ybk	Bokha
ybl	Yukuben
ybm	Yaben
ybn	Yabaâna
ybo	Yabong
ybx	Yawiyo
yby	Yaweyuha
ych	Chesu
ycl	Lolopo
ycn	Yucuna
ycp	Chepya
yda	Yanda
ydd	Eastern Yiddish
yde	Yangum Dey
ydg	Yidgha
ydk	Yoidik
yea	Ravula
yec	Yeniche
yee	Yimas
yej	Yevanic
yel	Yela
yer	Tarok
yes	Nyankpa
yet	Yetfa
yeu	Yerukula
yev	Yapunda
yey	Yeyi
ygl	Yangum Gel
ygm	Yagomi
ygp	Gepo
ygr	Yagaria
ygs	Yolŋu Sign Language
ygu	Yugul
ygw	Yagwoia
yha	Baha Buyang
yhd	Judeo-Iraqi Arabic
yhl	Hlepho Phowa
yi	ייִדיש
yia	Yinggarda
yif	Ache
yig	Wusa Nasu
yih	Western Yiddish
yii	Yidiny
yij	Yindjibarndi
yik	Dongshanba Lalo
yim	Yimchungru Naga
yin	Yinchia
yip	Pholo
yiq	Miqie
yir	North Awyu
yis	Yis
yit	Eastern Lalu
yiu	Awu
yiv	Northern Nisu
yix	Axi Yi
yiz	Azhe
yka	Yakan
ykg	Northern Yukaghir
yki	Yoke
ykk	Yakaikeke
ykl	Khlula
ykm	Kap
ykn	Kua-nsi
yko	Yasa
ykr	Yekora
ykt	Kathu
yku	Kuamasi
yky	Yakoma
yla	Yaul
ylb	Yaleba
yle	Yele
ylg	Yelogu
yli	Angguruk Yali
yll	Yil
ylm	Limi
yln	Langnian Buyang
ylo	Naluo Yi
ylu	Aribwaung
yly	Nyâlayu
ymb	Yambes
ymc	Southern Muji
ymd	Muda
ymg	Yamongeri
ymh	Mili
ymi	Moji
ymk	Makwe
yml	Iamalele
ymm	Maay
ymn	Yamna
ymo	Yangum Mon
ymp	Yamap
ymq	Qila Muji
ymr	Malasar
yms	Mysian
ymx	Northern Muji
ymz	Muzi
yna	Aluo
yne	Lang'e
yng	Yango
ynk	Naukan Yupik
ynl	Yangulam
ynn	Yana
yno	Yong
ynq	Yendang
yns	Yansi
ynu	Yahuna
yo	Yorùbá
yog	Yogad
yoi	Yonaguni
yok	Yokuts
yol	Yola
yom	Yombe
yon	Yongkom
yot	Yotti
yox	Yoron
yoy	Yoy
ypa	Phala
ypb	Labo Phowa
ypg	Phola
yph	Phupha
ypm	Phuma
ypn	Ani Phowa
ypo	Alo Phola
ypp	Phupa
ypz	Phuza
yra	Yerakai
yrb	Yareba
yre	Yaouré
yri	Yarí
yrk	Nenets
yrl	Nhengatu
yrm	Yirrk-Mel
yrn	Yerong
yrs	Yarsun
yrw	Yarawata
yry	Yarluyandi
ysc	Yassic
ysd	Samatao
ysg	Sonaga
ysl	Yugoslavian Sign Language
ysn	Sani
yso	Nisi (China)
ysp	Southern Lolopo
yss	Yessan-Mayo
ysy	Sanie
yta	Talu
ytl	Tanglang
ytp	Thopho
ytw	Yout Wam
yty	Yatay
yua	Yucateco
yuc	Yuchi
yud	Judeo-Tripolitanian Arabic
yue	Yue Chinese
yuf	Havasupai-Walapai-Yavapai
yug	Yug
yui	Yurutí
yuj	Karkar-Yuri
yuk	Yuki
yul	Yulu
yum	Quechan
yun	Bena (Nigeria)
yup	Yukpa
yuq	Yuqui
yur	Yurok
yut	Yopno
yuw	Yau (Morobe Province)
yux	Southern Yukaghir
yuy	East Yugur
yuz	Yuracare
yva	Yawa
yvt	Yavitero
ywa	Kalou
ywg	Yinhawangka
ywl	Western Lalu
ywn	Yawanawa
ywq	Wuding-Luquan Yi
ywr	Yawuru
ywt	Xishanba Lalo
ywu	Wumeng Nasu
yxl	Yardliyawarra
yxm	Yinwum
yxu	Yuyu
yyr	Yir Yoront
yyu	Yau (Sandaun Province)
yyz	Ayizi
yzg	E'ma Buyang
yzk	Zokhuo
za	Saɯ cueŋƅ, Saw cuengh
zaa	Sierra de Juárez Zapotec
zab	San Juan Guelavía Zapotec
zac	Ocotlán Zapotec
zad	Cajonos Zapotec
zae	Yareni Zapotec
zaf	Ayoquesco Zapotec
zag	Zaghawa
zah	Zangwal
zai	Isthmus Zapotec
zaj	Zaramo
zak	Zanaki
zal	Zauzou
zam	Miahuatlán Zapotec
zao	Ozolotepec Zapotec
zap	Zapotec
zaq	Aloápam Zapotec
zar	Rincón Zapotec
zas	Santo Domingo Albarradas Zapotec
zat	Tabaa Zapotec
zau	Zangskari
zav	Yatzachi Zapotec
zaw	Mitla Zapotec
zax	Xadani Zapotec
zay	Zayse-Zergulla
zaz	Zari
zbc	Central Berawan
zbe	East Berawan
zbl	Blissymbols
zbt	Batui
zbw	West Berawan
zca	Coatecas Altas Zapotec
zch	Central Hongshuihe Zhuang
zdj	Ngazidja Comorian
zea	Zeeuws
zeg	Zenag
zeh	Eastern Hongshuihe Zhuang
zen	Zenaga
zga	Kinga
zgb	Guibei Zhuang
zgh	Standard Moroccan Tamazight
zgm	Minz Zhuang
zgn	Guibian Zhuang
zgr	Magori
zh	中文 (Zhōngwén), 汉语, 漢語
zh-tw	繁體中文
zhb	Zhaba
zhd	Dai Zhuang
zhi	Zhire
zhn	Nong Zhuang
zhw	Zhoa
zia	Zia
zib	Zimbabwe Sign Language
zik	Zimakani
zil	Zialo
zim	Mesme
zin	Zinza
zir	Ziriya
ziw	Zigula
ziz	Zizilivakan
zka	Kaimbulawa
zkb	Koibal
zkd	Kadu
zkg	Koguryo
zkh	Khorezmian
zkk	Karankawa
zkn	Kanan
zko	Kott
zkr	Zakhring
zkt	Kitan
zku	Kaurna
zkv	Krevinian
zkz	Khazar
zlj	Liujiang Zhuang
zlm	Malay (individual language)
zln	Lianshan Zhuang
zlq	Liuqian Zhuang
zma	Manda (Australia)
zmb	Zimba
zmd	Maridan
zmf	Mfinu
zmg	Marti Ke
zmi	Negeri Sembilan Malay
zmj	Maridjabin
zml	Madngele
zmm	Marimanindji
zmn	Mbangwe
zmo	Molo
zmp	Mpuono
zmq	Mituku
zmr	Maranunggu
zms	Mbesa
zmt	Maringarr
zmw	Mbo (Democratic Republic of Congo)
zmx	Bomitaba
zmy	Mariyedi
zmz	Mbandja
zna	Zan Gula
zne	Zande (individual language)
zng	Mang
zns	Mangas
zoc	Copainalá Zoque
zoh	Chimalapa Zoque
zom	Zou
zoo	Asunción Mixtepec Zapotec
zoq	Tabasco Zoque
zor	Rayón Zoque
zos	Francisco León Zoque
zpa	Lachiguiri Zapotec
zpb	Yautepec Zapotec
zpc	Choapan Zapotec
zpd	Southeastern Ixtlán Zapotec
zpe	Petapa Zapotec
zpf	San Pedro Quiatoni Zapotec
zpg	Guevea De Humboldt Zapotec
zph	Totomachapan Zapotec
zpi	Santa María Quiegolani Zapotec
zpj	Quiavicuzas Zapotec
zpk	Tlacolulita Zapotec
zpl	Lachixío Zapotec
zpm	Mixtepec Zapotec
zpn	Santa Inés Yatzechi Zapotec
zpo	Amatlán Zapotec
zpp	El Alto Zapotec
zpq	Zoogocho Zapotec
zpr	Santiago Xanica Zapotec
zps	Coatlán Zapotec
zpt	San Vicente Coatlán Zapotec
zpu	Yalálag Zapotec
zpv	Chichicapan Zapotec
zpw	Zaniza Zapotec
zpx	San Baltazar Loxicha Zapotec
zpy	Mazaltepec Zapotec
zpz	Texmelucan Zapotec
zqe	Qiubei Zhuang
zra	Kara (Korea)
zrg	Mirgan
zrn	Zerenkel
zro	Záparo
zrs	Mairasi
zsa	Sarasira
zsk	Kaskean
zsl	Zambian Sign Language
zsm	Standard Malay
zsr	Southern Rincon Zapotec
zsu	Sukurum
zte	Elotepec Zapotec
ztg	Xanaguía Zapotec
ztl	Lapaguía-Guivini Zapotec
ztm	San Agustín Mixtepec Zapotec
ztn	Santa Catarina Albarradas Zapotec
ztp	Loxicha Zapotec
ztq	Quioquitani-Quierí Zapotec
zts	Tilquiapan Zapotec
ztt	Tejalapan Zapotec
ztu	Güilá Zapotec
ztx	Zaachila Zapotec
zty	Yatee Zapotec
zu	isiZulu
zua	Zeem
zuh	Tokano
zum	Kumzari
zun	Zuni
zuy	Zumaya
zwa	Zay
zxx	No linguistic content
zyb	Yongbei Zhuang
zyg	Yang Zhuang
zyj	Youjiang Zhuang
zyn	Yongnan Zhuang
zyp	Zyphe Chin
zza	Zaza
zzj	Zuojiang Zhuang
